Alimento,CDR,,,,25,800,14,150,375,10,<2300,2000,1,55,"1,1","1,4",16,"1,4",200,"2,5",80,800,-,-,5,12,75,20,,,
,Calorías,Proteína,Grasa,Carbohidratos,Fibra,Calcio (mg),Hierro (mg),Yodo (µg),Magnesio (mg),Zinc (mg),Sodio (mg),Potasio (mg),Cobre (mg),Selenio (µg),Tiamina (mg),Riboflavina (mg),Equivalentes de niacina (mg),Vitamina B6 (mg),Ácido Fólico (µg),Vitamina B12 (µg),Vitamina C (mg),Vitamina A (µg),Retinol (µg),Carotenos (µg),Vitamina D (µg),Vitamina E (mg),Vitamina K (µg),AGS,AGM,AGP,Colesterol
Cereales (almohadillas ricas en fibra),"408,00","7,50","14,00","63,00","7,00","0,00","6,00","5,00","90,00","0,00","180,00","0,00","0,00","0,00","0,90","1,00","11,30","1,30","126,00","0,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","3,50","5,50","0,00"
Cereales (copos ricos en fibra),"356,00","10,00","2,00","67,00","15,00","0,00","11,60","5,00","120,00","2,50","500,00","0,00","0,00","0,00","1,20","1,30","14,90","1,70","334,00","0,83","0,00","0,00","0,00","0,00","4,20","0,00","0,00","0,50","0,00","0,00","0,00"
Cereales en polvo solubles tipo “Eko”,"343,00","5,70","0,42","73,70","10,90","0,00","1,90","0,00","71,00","0,90","92,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,30","0,00"
Cereales malteados en polvo,"343,00","5,70","0,40","73,70","10,90","250,00","2,00","0,00","100,00","0,00","92,00","943,00","0,00","0,00","1,00","2,00","15,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,00","0,00"
Malta,"365,00","11,20","2,10","73,10","4,20","36,00","3,50","0,00","111,00","3,60","17,00","521,00","0,66","70,70","0,52","0,20","4,70","0,15","57,00","0,00","0,00","1,80","0,00","11,00","0,00","2,20","2,80","0,32","0,24","0,81","0,00"
Muesli,"395,00","9,00","11,00","61,00","8,00","50,00","6,60","5,00","70,00","1,50","380,00","400,00","0,36","17,30","0,80","0,60","6,80","1,70","201,00","0,85","51,00","164,00","164,00","0,00","4,30","2,90","3,10","2,50","3,40","1,80","0,00"
Snacks bajos en calorías de chocolate,"332,00","9,00","10,00","50,00","3,00","0,00","4,80","0,00","0,00","0,00","367,00","0,00","0,00","0,00","1,00","1,10","12,20","1,40","136,00","0,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","0,00","0,00"
Tortita de arroz inflado,"371,00","8,50","3,50","75,00","2,70","0,00","0,00","0,00","0,00","0,00","600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,70","1,20","1,60","0,00"
Tortita de arroz integral,"394,00","8,60","3,20","80,30","5,00","0,00","0,00","0,00","0,00","0,00","600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,17","0,00","1,00","0,00","0,00","0,00","0,60","0,90","1,10","0,20"
Tortita de arroz integral tipo1,"369,00","7,50","2,50","76,50","5,00","0,00","0,00","0,00","0,00","0,00","600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,17","0,00","1,00","0,00","0,00","0,00","0,58","0,83","0,92","0,00"
Tortita de maíz,"384,00","8,10","2,40","81,50","1,90","19,00","1,40","0,00","114,00","2,00","488,00","157,00","0,42","9,90","0,25","0,05","5,20","0,14","19,00","0,00","0,00","70,00","69,00","7,00","0,00","0,00","0,00","0,42","0,76","0,93","0,00"
Colines,"414,00","11,20","6,20","77,70","1,00","114,00","1,00","7,00","25,00","0,78","800,00","160,00","0,17","33,60","0,36","0,27","6,20","0,09","21,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","3,00","0,60","0,00","0,00","0,00"
Masa de hojaldre congelada,"544,00","7,40","38,50","41,30","1,50","10,00","2,60","17,20","16,00","0,54","253,00","62,00","0,11","24,50","0,32","0,25","5,20","0,02","47,00","0,00","0,00","0,00","0,00","0,00","1,00","2,40","14,40","5,50","8,30","22,20","1,00"
Masa quebrada,"372,00","6,10","20,90","39,30","0,90","22,40","0,85","7,20","14,60","0,70","460,00","95,70","0,09","3,90","0,07","0,08","1,60","0,06","16,10","0,36","0,00","35,80","35,50","1,60","0,52","1,00","17,90","8,80","0,00","0,00","114,00"
Pan blanco,"243,00","8,30","1,60","47,00","3,50","56,00","1,60","4,70","25,10","0,61","424,00","110,00","0,19","28,00","0,09","0,06","3,00","0,06","23,00","0,00","0,00","0,33","0,00","2,00","0,00","0,00","1,90","0,39","0,28","0,34","0,00"
Pan blanco sin sal,"265,00","8,00","1,10","53,90","3,50","20,00","1,70","5,00","26,00","0,60","2,00","100,00","0,13","22,60","0,09","0,05","2,60","0,12","23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","1,90","0,20","0,10","0,40","0,00"
Pan blanco tipo baguette,"273,00","8,00","1,20","55,90","3,50","23,00","1,50","6,00","28,00","0,70","424,00","130,00","0,16","28,00","0,09","0,05","3,30","0,08","24,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","1,90","0,20","0,10","0,40","0,00"
Pan blanco tostado,"389,00","11,50","4,60","73,40","3,90","114,00","1,00","7,00","25,00","0,78","702,00","160,00","0,17","33,60","0,36","0,27","6,20","0,09","21,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","3,00","0,50","1,90","0,98","0,00"
Pan blanco tostado sin sal,"389,00","11,50","3,90","73,40","5,20","119,00","3,30","7,00","26,00","0,68","192,00","131,00","0,14","33,60","0,42","0,34","5,70","0,06","26,00","0,02","0,00","0,00","0,00","0,00","0,00","0,01","3,00","0,50","1,80","0,82","1,00"
Pan de avena,"275,00","8,40","4,40","48,50","4,00","43,00","3,20","0,00","68,00","1,00","23,40","165,00","0,21","24,60","0,40","0,24","3,10","0,00","0,00","0,03","0,00","2,00","2,00","0,00","0,00","0,61","0,00","0,70","1,60","1,70","0,00"
Pan de cebada,"248,00","6,40","4,50","43,50","4,00","125,00","3,60","0,00","41,00","1,00","473,00","141,00","0,15","28,80","0,41","0,25","5,60","0,11","85,00","0,00","0,20","0,83","0,00","5,00","0,00","0,00","0,00","0,70","0,61","1,60","0,00"
Pan de centeno,"245,00","8,50","3,30","42,50","5,80","73,00","2,80","0,00","40,00","1,10","603,00","166,00","0,19","30,90","0,43","0,34","3,80","0,08","59,00","0,00","0,40","0,00","0,00","0,00","0,00","0,33","1,20","0,63","1,30","0,80","0,00"
Pan de molde,"350,00","9,30","13,60","46,90","1,50","91,00","2,30","4,70","21,90","0,50","512,00","129,00","0,13","28,00","0,20","0,05","3,10","0,07","38,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","0,00","0,00","0,00"
Pan de molde integral,"239,00","10,00","3,00","40,00","6,00","99,00","3,80","5,00","58,00","1,40","516,00","222,00","0,27","32,10","0,35","0,33","6,70","0,32","37,00","0,08","0,30","0,00","0,00","0,00","0,00","0,66","3,00","0,70","1,40","0,80","0,00"
